MouseID,Virus,Trial,Laser,Latency_Contact_s,Latency_Retrieve_s,Retrieved
PrL-10,mCherry,1,OFF,14,120,0
PrL-10,mCherry,2,ON,19,120,0
PrL-10,mCherry,3,OFF,71,120,0
PrL-10,mCherry,4,ON,68,120,0
PrL-10,mCherry,5,OFF,120,120,0
PrL-10,mCherry,6,ON,11,120,0
PrL-10,mCherry,7,OFF,98,120,0
PrL-10,mCherry,8,ON,41,120,0
PrL-11,mCherry,1,OFF,67,120,0
PrL-11,mCherry,2,ON,55,120,0
PrL-11,mCherry,3,OFF,70,120,0
PrL-11,mCherry,4,ON,120,120,0
PrL-11,mCherry,5,ON,120,120,0
PrL-11,mCherry,6,OFF,29,120,0
PrL-11,mCherry,7,ON,32,120,0
PrL-11,mCherry,8,OFF,50,120,0
PrL-11,mCherry,9,ON,51,120,0
PrL-2,ChR2,1,OFF,9,120,0
PrL-2,ChR2,2,ON,21,120,0
PrL-2,ChR2,3,OFF,5,119,1
PrL-2,ChR2,4,ON,92,96,1
PrL-2,ChR2,5,OFF,120,120,0
PrL-2,ChR2,6,ON,6,10,1
PrL-2,ChR2,7,OFF,3,14,1
PrL-2,ChR2,8,ON,3,8,1
PrL-2,ChR2,9,OFF,5,9,1
PrL-2,ChR2,10,ON,70,73,1
PrL-3,ChR2,1,OFF,77,120,0
PrL-3,ChR2,2,ON,19,32,1
PrL-3,ChR2,3,OFF,120,120,0
PrL-3,ChR2,4,ON,7,14,1
PrL-3,ChR2,5,OFF,8,14,1
PrL-3,ChR2,6,ON,7,10,1
PrL-3,ChR2,7,OFF,11,14,1
PrL-3,ChR2,8,ON,3,10,1
PrL-4,ChR2,1,OFF,12,37,1
PrL-4,ChR2,2,ON,4,9,1
PrL-4,ChR2,3,OFF,10,16,1
PrL-4,ChR2,4,ON,7,11,1
PrL-4,ChR2,5,OFF,30,36,1
PrL-4,ChR2,6,ON,46,50,1
PrL-4,ChR2,7,OFF,120,120,0
PrL-4,ChR2,8,ON,5,10,1
PrL-4,ChR2,9,OFF,120,120,0
PrL-4,ChR2,10,ON,5,8,1
PrL-5,mCherry,1,OFF,8,77,1
PrL-5,mCherry,2,ON,32,39,1
PrL-5,mCherry,3,OFF,104,109,1
PrL-5,mCherry,4,ON,104,110,1
PrL-5,mCherry,5,OFF,15,21,1
PrL-5,mCherry,6,ON,86,91,1
PrL-5,mCherry,7,OFF,120,120,0
PrL-5,mCherry,8,ON,24,30,1
PrL-5,mCherry,9,OFF,8,12,1
PrL-5,mCherry,10,ON,10,15,1
PrL-7,ChR2,1,OFF,7,120,0
PrL-7,ChR2,2,ON,27,120,0
PrL-7,ChR2,3,OFF,101,120,0
PrL-7,ChR2,4,ON,33,120,0
PrL-7,ChR2,5,OFF,120,120,0
PrL-7,ChR2,6,ON,120,120,0
PrL-7,ChR2,7,OFF,3,120,0
PrL-7,ChR2,8,ON,52,120,0
PrL-7,ChR2,9,OFF,10,120,0
PrL-7,ChR2,10,ON,46,52,1
PrL-7,ChR2,11,OFF,8,17,1
PrL-7,ChR2,12,ON,17,29,1
PrL-8,ChR2,1,OFF,32,113,1
PrL-8,ChR2,2,ON,12,95,1
PrL-8,ChR2,3,OFF,12,17,1
PrL-8,ChR2,4,ON,26,31,1
PrL-8,ChR2,5,OFF,68,85,1
PrL-8,ChR2,6,ON,10,18,1
PrL-8,ChR2,7,OFF,120,120,0
PrL-8,ChR2,8,ON,43,59,1
PrL-8,ChR2,9,OFF,42,46,1
PrL-8,ChR2,10,ON,5,11,1
PrL-9,mCherry,1,OFF,4,120,0
PrL-9,mCherry,2,ON,17,120,0
PrL-9,mCherry,3,OFF,1,120,0
PrL-9,mCherry,4,ON,11,120,0
PrL-9,mCherry,5,OFF,3,120,0
PrL-9,mCherry,6,ON,2,120,0
PrL-9,mCherry,7,OFF,11,34,1
PrL-9,mCherry,8,ON,20,120,0
PrL-9,mCherry,9,OFF,9,120,0
PrL-9,mCherry,10,ON,76,120,0
